system:index,Dist_Road_m,Dist_Sett_m,IDcode,NDVI1080,NDVI2160,NDVI3240,chiliSD1080,chiliSD2160,chiliSD3240,elev,intercept,lat,latitude,long,longitude,riparianDist,riparian_dens1080,riparian_dens2160,riparian_dens3240,slope,waterDistm,year,.geo
00003c83e46a2581c6a2,25700.7552089217,10074.4275054225,JagInfo306,0.4431383,0.4375443,0.43857494,114.006077350622,157.274178765158,163.800676002174,634,1,27,26.9999912338832,-108,-108.000009818822,177,0.271672017782168,0.221715834205826,0.371371617378007,1,5473,2004,
000024cd3d5eb4b7a63b,18832.6894030423,17304.906225815,MABA11,0.37987366,0.40327474,0.40296397,126.210644795541,158.256426645961,148.855101022826,983,1,29.53944,29.539442833095,-108.89167,-108.891661234894,90,0.37046184243023,0.110857917102913,0.081920209715737,5,1606,2017,
0000624944510427c9ab,13002.990145794,11589.3232438015,JagInfo177,0.35340777,0.35168803,0.35807198,102.133077144517,115.451236842295,121.676541607146,885,1,29.589725,29.5897121165945,-109.052406,-109.052388292225,1078,0,0.123175463447681,0.314027470576991,28,5050,1998,
0000c0e076285f5112bb,7160.04948117481,8441.95089847735,JagInfo298,0.37168962,0.3811546,0.38076696,148.453136307658,146.889156070559,149.487703963069,1211,1,29.685311,29.6853135218212,-109.072241,-109.072226705892,2521,0,0,0.013653368285956,11,7879,2010,
00004489b5527e4edb6e,853.068853565986,6085.79990312756,JagInfo165,0.24929063,0.25396517,0.24772443,108.486210619554,113.294105483399,119.361446079717,855,1,29.921299,29.9213098545357,-109.382754,-109.382774181368,705,0.123487280810077,0.794481739237544,0.567980120695776,17,3366,1997,
00004452eb0365b6350f,7400.27209456422,7791.8822585679,JagInfo185,0.26757914,0.25146845,0.2525124,150.792048548257,155.470128506278,159.031452152122,1635,1,29.81877,29.818751539539,-109.388576,-109.388564125628,1790,0,0.036952639034304,0.070997515086972,14,1275,1999,
000031c4763dc25a6f88,10217.0219409867,11753.5944252943,MABA6,0.38294238,0.37243676,0.36699742,89.7674774015303,122.378433692914,123.401005901211,1394,1,29.78007,29.78006214456,-109.40446,-109.404452809877,1980,0,0,0.060074820458207,15,3670,2016,
0000d869603a95e013c4,19714.0883889566,16720.1603626692,MABA4,0.41025823,0.4344979,0.43139872,145.322691912264,142.944034193142,153.221228340256,583,1,29.65159,29.6516061719032,-109.27053,-109.270521075982,698,0.074092368486046,1.81067931268091,2.04254389557904,10,1352,2015,
0000ae9b291c9122bdf9,19069.1902722049,16299.1872364226,MABA8,0.38145965,0.367295,0.359331,153.67684965849,145.45133524761,152.903854681302,830,1,29.628,29.627997561974,-109.27346,-109.273438489757,1720,0,0.012317546344768,0.035498757543486,15,3013,2016,
00004707a8e4e02e35c3,21406.6215482749,18927.6758381551,MABA10,0.32413504,0.33081454,0.33202356,162.040855173088,157.100352243698,157.010001675114,757,1,29.6,29.5999903897386,-109.24944,-109.249425930228,963,0.024697456162015,1.5828047053027,1.38718221785314,31,1017,2016,
00008e85697976ee4452,20212.9583353305,19268.4578795706,MABA5,0.40730414,0.3987948,0.40348008,151.150467072681,157.845955241162,151.587924347514,468,1,29.64248,29.642494864269,-109.24046,-109.24044927246,10,6.91528772536429,3.21487959598448,2.41391551295705,15,30,2015,
00003573d1aec5bb62f8,25055.5122170545,23057.2209435856,MABA7,0.34881642,0.3371549,0.33015597,178.374486977147,157.012524372447,153.811555244771,511,1,29.55129,29.5512920213485,-109.22166,-109.221643174437,340,3.26006421338602,1.96464864199052,1.7449004669452,26,372,2016,
000022681c95e2f534c6,4035.79224789411,23126.9964981102,JagInfo138,0.7314363,0.7126901,0.7179329,130.793922591037,157.406395709016,158.593124923065,1188,1,29.297927,29.2979258558533,-109.496272,-109.496284018841,0,0.098789824648061,0.061587731723841,0.062805494115398,38,723,1992,
00009c79cfc4b97f3add,10266.1205747856,22081.0415689222,JagInfo154,0.40050626,0.3940417,0.39546958,143.612030473782,123.914981177117,140.257611496225,1007,1,29.26846,29.268482418375,-109.199632,-109.199650362906,1130,0,0.092381597585761,0.243029955490019,41,4502,1995,
00002a699c689f5582c7,16869.4257585043,31489.0274007444,JagInfo139,0.31134102,0.33553138,0.35326663,130.567275617958,141.736894088286,142.251734105892,485,1,29.394967,29.3949635263228,-109.226891,-109.226894519231,174,2.07458631760929,1.40420028330357,1.25337920865077,13,242,1993,
0000312ed221125e8518,17936.7253899961,33917.9570660633,JagInfo193,0.28024518,0.29452422,0.29717925,169.762351410693,170.592386054085,149.805405208632,724,1,29.389157,29.3891735820626,-109.202154,-109.202163827081,2558,0,0,0.136533682859562,20,2638,2000,
0000d6a677db19c96fa5,25337.0374896207,23833.3960707881,JagInfo714,0.19622938,0.21042782,0.2099813,88.8716396031838,97.5920345783192,110.985424867154,705,1,29.491574,29.491552363904,-108.852094,-108.852074174138,376,3.45764386268214,1.90921968343906,1.37899019688157,5,539,2013,
000093468092ed1cf9af,35021.8864048085,35220.1441710959,JagInfo160,0.3052402,0.30216485,0.29883793,142.240064311695,154.868652583273,186.697022751705,842,1,29.229637,29.2296583735295,-108.914116,-108.914102879313,629,0.024697456162015,0.381843936687812,0.404139701264302,28,772,1997,
000046a8c9308a821338,22761.7220205148,21598.3108193073,JagInfo184,0.32545313,0.28804192,0.27511778,133.697852881888,156.757964509377,155.655339383095,1055,1,29.147585,29.1475668382432,-109.023661,-109.023662987369,541,1.7782168436651,0.726735234341319,0.617132246525218,5,1856,1999,
